name
excuse me
need to
sometimes to
sometimes you
afraid of
more than
effect on
figured to
thank god
if you
wouldnt start
whyd you
listen to
listen you
wanted to
wanted you
wanted me
looked you
into a
believe the
believe you
spend with
shed with
wearing a
heard a
kind of
kind a
kind guy
likes and
shes not
understand the
full of
seem to
seem for
unless your
unless sister
unless goes
punishing me
use it
word god
word of
arent a
theres i
theres a
might date
might a
such a
want to
used to
use when
high a
high school
seems like
seems the
seems is
easy of
loss of
name of
try to
part of
thought you
public the
public up
wanted up
sophomore the
also of
sophomore prom
id to
days ago
line like
line a
wonder you
wonder know
child a
supposed to
actually you
asia to
asia found
asia it
asia can
asia be
asia the
asia west
prove it
exactly to
son to
talk to
bring of
bring the
bring word
bring god
according of
according to
according the
according is
follow me
ill a
queen harry
senor colon
senor with
concern the
tube sock
bogey saturday
bogey party
cannot of
cannot the
ignore of
ignore the
cannot ignore
calculations of
ocean is
ocean uncrossable
set up
last you
last year
guess i
name will
trust to
trust you
trust me
keep the
decisions me
tell me
except my
told you
everything i
everything you
went to
wish i
asked to
swear on
leaving a
act like
act of
act you
bobadilla already
allowed to
forgive don
forgive me
means that
least a
lowensteins party
bogey lowensteins
explore the
listening to
might ask
gigglepuss is
gigglepuss playing
club skunk
potential of
end of
end story
hot rod
whatever is
tomorrow night
promise you
accept the
accept as
accept world
accept it
accept is
chief says
group of
starts dating
sent em
girls like
betrayed my
best for
case youre
case out
while to
while you
while the
750 leagues
whole thing
number one
hates you
himself the
those who
weve or
weve got
state trooper
love with
katarina stratford
these right
these guys
these are
many people
live to
live a
howd the
howd get
howd you
decided to
rest of
hundred a
pick you
pick up
job that
came to
william to
looking the
looking at
sarah to
sarah i
sarah the
lawrence to
lawrence i
sarah lawrence
lawrence the
realize be
show to
freshman yearbook
paid to
paid out
paid me
paid take
down for
anyone ever
anyone you
anyone told
anyone that
i and why do
i and would do
i and why would do
i my me do
i why would do
youre what do
you your on do
and why do
and would do
and come do
and the come do
and why would do
the why do
the come do
get her do
your on do
there why do
why would do
im a in not
did he not
do how to
do there to
do want to
do how you to
do you it to
do you there to
do you want to
do you why to
do you there why to
do there why to
not did to
not allowed to
not did he to
i need to
i figured to
i youd to
i get to
i had to
i listen to
i then to
i we to
i going to
i something to
i find to
i want to
i life to
i point to
i when to
i id to
i guys to
i supposed to
i talk to
i daddy to
i should to
i even to
i other to
i decided to
i sarah to
i lawrence to
i go and to
i go if to
i go want to
i go sarah to
i go lawrence to
i go if want to
i go sarah lawrence to
i need you to
i no you to
i you but to
i you going to
i you the for to
i you going thought to
i know want to
i and about to
i and find to
i dont are to
i dont going to
i dont want to
i dont are going to
i my life to
i my point to
i of think to
i the out to
i the me can to
i if want to
i me can to
i listen can to
i but daddy to
i never have to
i be something to
i be should to
i be even to
i have a to
i we thought to
i we were to
i we thought were to
i is something to
i doesnt want to
i are going to
i going thought to
i want daddy to
i thought were to
i sarah lawrence to
she just to
she but to
she doesnt to
she but doesnt to
go want to
go were to
go would to
go even to
go sarah to
go lawrence to
go if we to
go if want to
go if were to
go if we were to
go we were to
go sarah lawrence to
youre gonna to
youre need to
youre what to
youre is to
need you to
need dont to
need we to
need dont we to
how know to
how and to
how dont to
how me to
how want to
how you know to
how you and to
how you me to
how you want to
how you me want to
how know dont to
how me want to
no never to
no that to
no you never to
im got to
im supposed to
im that got to
you god to
you listen to
you believe to
you going to
you id to
you talk to
you trust to
you listening to
you show to
you speak to
you know and to
you and want to
you and up to
you like one to
you like id to
you like one id to
you the always to
you what are to
you what listening to
you what are listening to
you get a to
you get him to
you god if to
you one id to
you me want to
you for believe to
you we were to
you him let to
you are why to
you are listening to
you going thought to
you there why to
you want trust to
sometimes are to
and about to
and find to
and want to
and up to
and while to
and her a to
and up while to
dont like to
dont we to
dont are to
dont going to
dont want to
dont why to
dont are going to
like one to
like have to
like because to
like id to
like one id to
my point to
the always to
the want to
the me can to
the me tell to
the it there to
what are to
what up to
what listening to
what isnt to
what are listening to
get have to
get her to
get him to
get have a to
god if to
if we to
if want to
if were to
if we were to
one there to
one id to
one is there to
about that to
your are to
me want to
me can to
me up to
me daddy to
me expect to
listen can to
then find to
but doesnt to
but daddy to
all have to
never have to
did he to
for believe to
be something to
be should to
be even to
be wont to
have would to
have anything to
have time to
we him to
we are to
we going to
we thought to
we were to
we here to
we thought were to
is something to
is there to
is id to
is way to
that got to
that tell to
a id to
a way to
it there to
doesnt want to
are going to
are why to
are listening to
are men to
going thought to
there only to
there why to
want trust to
want daddy to
thought were to
up while to
sarah lawrence to
do if i
do you if i
not that i
not its i
not guess i
to youll i
to you youll i
im out i
you as i
you youll i
you know what i
you dont if i
you the as i
you the is as i
you your on i
you is as i
know what i
this has i
and about i
and theres i
and why i
and would i
and has i
and why would i
and he has i
dont if i
the your in i
the me in i
the with would i
the is as i
what me is i
your on i
me cant i
me away i
me cant away i
then tell i
but daddy i
well theres i
with would i
be than i
is as i
is something i
cant away i
why would i
he has i
sarah lawrence i
how be so
how can so
how you be so
how you can so
how you be can so
how be can so
you of can so
you of the can so
this are so
this the are so
of can so
of the can so
